x Normal 1 ,y Normal 1 ,z Normal 1 ,i Normal 1 , x Normal 2,y Normal 2,z Normal 2 ,i Normal 2, x Normal 3,y Normal 3,z Normal 3 ,i Normal 3
-9,28,24,70,3,0,31,345,-6,10,17,0
10,-40,36,0,0,12,23,205,6,-32,43,0
8,17,40,0,0,-33,38,137,-1,12,14,0
-5,-32,16,0,6,13,21,58,-2,-25,44,0
8,-32,32,0,-3,-34,16,0,11,2,17,0
-3,12,28,0,9,11,45,0,-8,-14,13,0
4,-23,27,0,-4,-34,24,0,11,-5,46,0
10,-4,45,0,6,4,33,0,8,-9,10,0
-6,-17,16,0,1,2,47,0,-5,-37,50,0
10,-36,41,0,-9,-33,13,0,7,12,7,0
6,10,19,0,12,-3,44,0,0,-33,49,0
-4,-30,36,0,-8,-22,35,0,-4,-24,45,0
9,-16,23,0,82,-35,21,0,11,3,11,0
-3,-3,13,0,12,6,41,0,-4,-29,50,0
6,-27,44,0,-5,-34,13,0,-2,0,18,51
10,0,13,0,7,-18,46,0,7,6,34,109
-5,4,44,0,-2,-3,10,0,-4,-31,30,151
1,-24,12,13,-8,-30,47,0,7,10,3,219
4,-26,42,81,12,3,34,0,10,-11,51,292
1,6,22,125,2,3,16,0,-5,-15,39,344
11,-24,13,176,2,-31,44,0,8,4,12,364
-5,-5,45,254,12,1,8,10,3,-26,40,376
9,-18,26,321,-5,-20,51,90,2,-22,23,374
-2,-38,28,357,9,-35,25,130,11,2,10,368
6,11,33,372,9,11,29,182,-4,-28,47,353
1,-39,13,375,-4,-39,32,260,8,-7,8,290
-7,7,42,369,5,-16,3,325,-2,-20,16,217
10,-32,39,361,-2,-8,52,358,8,-30,46,152
-7,1,13,317,-8,-20,10,373,-1,3,12,68
9,12,46,241,9,-1,7,379,-4,-31,41,0
-8,-38,30,171,2,-32,53,369,8,3,54,0
7,15,12,99,-1,13,19,366,-7,-34,2,0
-4,-41,0,31,8,-37,32,334,10,4,27,0
-8,18,17,0,-7,-4,32,264,-8,2,37,0
9,-39,17,0,9,-6,6,196,8,-33,18,0
-2,11,47,0,7,-24,47,49,4,13,43,0
3,11,9,0,-4,15,40,0,-4,-43,11,0
2,-40,35,0,8,278,11,0,8,23,46,0
-8,-1,24,0,-6,-38,40,0,-6,-46,18,0
8,-17,6,0,8,15,20,0,7,-21,33,0
3,-12,54,0,-6,-25,32,0,-4,4,26,0
-4,17,5,0,8,-4,47,0,-8,-35,26,0
7,-39,50,0,2,33,12,0,11,17,32,0
-4,-24,8,0,-5,-53,42,0,1,-38,25,0
-11,9,44,0,6,32,38,0,0,8,34,0
-11,-32,18,0,-8,13,18,0,7,29,16,0
25,3,33,0,7,-39,40,0,-5,-55,37,53
-1,25,27,0,-4,19,16,0,-7,-12,0,106
-1,12,8,0,0,-31,40,0,6,0,36,152
4,1,48,0,0,4,16,0,-7,-48,39,223
-6,1,12,33,-9,32,30,0,0,20,18,291
7,-23,42,94,10,-45,29,0,0,21,30,349
-8,12,17,135,-10,-13,24,0,-8,-44,26,365
-9,-38,15,190,-4,5,34,39,7,30,21,376
10,13,43,273,8,-39,23,97,4,-6,37,370
-10,22,15,330,-8,19,39,142,-7,-20,27,368
11,-47,30,363,6,-28,18,207,7,29,27,351
-11,31,26,373,-4,-34,36,284,-6,-39,30,288
11,-52,15,374,-10,17,25,344,3,-38,24,213
-8,31,41,366,11,-38,18,361,0,24,35,150
7,-47,16,354,0,-10,39,375,0,-26,35,72
-7,26,24,290,-2,-6,27,375,3,-1,21,4
-9,-35,33,225,9,-18,30,369,-9,-10,35,0
10,10,21,150,-9,0,28,361,11,-16,25,0
-9,26,36,79,8,-28,20,300,-9,2,22,0
8,-42,36,8,7,7,39,217,7,-26,40,0
-8,28,18,0,-9,-24,32,157,-5,20,17,0
-2,-42,34,0,11,0,24,75,5,-32,43,0
7,19,21,0,-1,-16,36,12,-1,12,16,0
-5,3,17,0,2,-10,22,0,-10,-24,23,0
7,-29,42,0,5,-8,37,0,11,3,40,0
-3,11,14,0,-2,-34,44,0,-8,-14,14,0
-5,-26,29,0,8,13,11,0,3,-5,46,0
11,-1,32,0,-5,123,45,0,10,18,10,0
-7,10,23,0,7,-34,26,0,9,-36,24,0
1,-36,38,0,0,5,27,0,-6,1,37,0
5,11,18,0,2,1,34,0,7,22,16,0
-6,-9,42,0,2,-32,13,0,0,-33,44,0
9,-16,13,0,0,-1,47,0,-6,-24,14,1
7,8,45,0,12,-24,13,0,10,2,48,67
-6,-28,11,0,-6,-10,42,0,3,-29,18,117
7,-20,23,8,8,8,20,0,-3,0,56,157
-1,0,38,73,-3,-34,29,0,8,7,36,222
-6,-27,17,117,-7,-16,46,0,-4,-30,0,298
13,4,44,165,13,-4,14,0,5,-6,28,348
-8,4,12,237,1,-24,40,0,9,-12,28,365
0,-32,34,310,3,4,17,69,-5,-16,11,377
7,7,25,352,5,-28,39,115,4,6,43,374
-2,-22,11,368,-6,-31,23,162,5,-27,17,369
9,-8,48,376,10,11,32,235,-7,-22,31,348
-5,-14,11,374,9,-36,51,309,10,3,47,283
10,-22,24,369,-5,-5,4,356,-4,-22,9,209
-6,-3,44,340,10,-18,54,367,8,-6,16,139
10,-31,22,266,-3,-14,45,377,-2,3,44,61
-8,11,22,205,4,13,10,369,-2,-32,12,0
0,-38,9,133,10,-38,45,365,8,5,40,0
5,17,9,63,-8,14,15,329,-4,-32,50,0
-2,-14,3,0,10,-36,34,252,9,4,2,0
7,-14,36,0,4,8,53,187,-7,-8,55,0
-7,-1,15,0,-3,-24,4,40,0,-25,37,0
6,-29,50,0,6,-36,22,0,4,3,17,0
-3,8,13,0,-5,20,38,0,-2,-33,43,0
-7,-36,39,0,7,-42,12,0,5,13,11,0
11,5,47,0,-4,23,42,0,-5,-19,41,0
-8,19,7,0,6,-38,17,0,8,-12,20,0
0,-45,54,0,-2,17,10,0,-5,-5,32,0
5,19,28,0,0,-28,48,0,10,-21,28,0
-11,-10,24,0,8,-49,27,0,1,2,24,0
-11,-30,35,0,-9,32,24,0,3,-33,34,0
-8,3,18,0,8,-54,37,0,6,13,22,0
-8,3,44,0,-8,-17,16,0,2,-44,42,1
3,19,10,0,4,8,41,0,-4,13,18,66
1,19,36,0,-3,-49,17,0,9,20,35,112
-2,-17,23,0,1,24,35,0,-14,-21,24,159
-4,0,28,24,9,-36,25,0,0,-11,33,232
8,-4,32,86,-10,-46,31,0,7,-3,39,298
-10,-8,23,129,10,32,29,0,-7,-43,18,353
9,-41,36,181,2,-14,16,31,0,14,30,365
5,24,17,255,-3,-11,38,97,0,-30,28,377
-7,-41,39,324,9,2,19,138,-8,-42,21,372
8,-31,23,357,-9,-42,39,206,6,29,35,369
-6,17,16,370,5,23,112,280,4,-7,27,351
5,-42,42,379,8,15,39,343,-7,-19,27,291
-4,11,24,369,-8,-35,25,357,8,29,31,218
1,-24,30,362,3,7,21,374,-6,-40,23,152
3,-5,41,316,-2,-21,40,375,3,-37,35,77
-4,-7,16,237,-3,-8,18,369,-1,24,36,6
9,-19,39,171,8,18,30,361,1,-48,20,0
-8,12,32,96,-8,-38,29,217,11,0,33,0
7,-40,21,29,-3,13,21,154,-9,-9,25,0
-6,15,35,0,6,-35,38,72,10,-17,22,0
4,-25,23,0,-6,8,31,1,-8,3,39,0
0,4,36,0,6,-24,24,0,7,-43,17,0
-9,-13,37,0,0,0,35,0,-5,19,42,0
12,-12,20,0,-7,10,23,0,4,-31,16,0
-7,21,37,0,12,-32,34,0,10,8,23,0
-3,-38,26,0,-9,12,41,0,-9,-21,40,0
8,13,31,0,10,-32,13,0,12,0,15,0
-5,7,31,0,-5,10,33,0,-8,-11,46,0
8,-30,14,0,8,17,29,0,8,-36,9,0
10,3,44,0,-3,-33,15,0,9,16,25,0
-6,-25,16,0,-10,5,43,0,0,-34,35,0
10,-34,39,0,13,-2,13,0,-5,10,18,0
3,10,20,0,-9,-30,44,0,8,-30,42,0
0,-30,32,0,11,3,15,0,1,-24,15,31
1,-12,44,0,-7,-24,39,0,-6,2,44,101
0,-7,11,61,9,-8,21,0,10,-27,16,141
-7,-28,47,114,-5,5,12,0,5,-2,5,199
9,5,10,162,-7,-32,46,2,-3,6,55,277
8,-26,47,231,12,-16,13,75,8,-30,27,337
-5,-20,16,307,-8,-5,40,123,-4,-7,25,363
4,-2,35,346,4,-29,17,175,6,-11,37,375
0,-29,48,368,4,3,40,252,11,-16,9,376
3,-1,11,375,-7,-27,21,320,-5,5,15,368
5,-24,31,374,10,-29,8,360,3,-27,47,356
-7,-5,29,369,7,10,49,373,4,-23,23,293
12,8,24,337,-5,-22,4,379,-7,4,27,221
-6,-40,44,260,7,-5,24,368,9,-24,34,152
9,10,15,194,-3,10,40,363,-4,-4,8,77
-1,-36,16,121,4,-39,12,317,9,4,48,0
3,8,44,56,9,12,48,241,-2,-34,45,0
10,-28,26,0,-8,-38,13,175,-2,7,8,0
-9,-36,2,0,1,11,6,98,9,-34,41,0
12,16,35,0,4,-34,51,25,-4,5,22,0
-9,-43,7,0,-10,5,26,0,8,-7,28,0
9,23,48,0,11,12,26,0,-7,-27,57,0
-8,-45,41,0,-7,-35,35,0,0,5,3,0
9,18,14,0,8,21,8,0,3,-33,50,0
11,-41,45,0,-4,-42,44,0,-2,14,9,0
-9,-39,19,0,5,24,45,0,5,-21,44,0
4,20,36,0,-2,296,11,0,-5,-9,17,0
0,-27,24,0,-7,-40,47,0,6,-7,32,0
1,-6,29,0,9,20,24,0,-5,-20,27,0
9,-12,31,0,-10,23,25,0,-5,1,9,0
-6,-45,6,0,8,-47,47,0,9,-45,47,0
-3,18,48,0,-9,31,13,0,2,15,10,0
5,7,11,0,6,-17,42,0,2,12,42,0
-8,-32,40,26,-5,-10,15,0,0,-41,17,32
5,10,19,80,-10,1,40,0,-7,9,34,97
5,-23,33,124,10,-53,20,0,0,-25,38,135
-4,0,26,181,-10,27,33,0,4,-9,19,208
-10,-2,28,255,0,18,27,46,-5,25,33,280
8,27,33,327,2,-41,25,104,2,-3,27,338
-1,-43,12,360,-4,15,42,158,-2,-26,18,362
-4,-13,42,373,10,-20,17,226,-7,21,37,374
5,2,19,379,-9,-6,42,302,6,-28,21,375
-9,-26,17,373,-6,29,16,353,0,0,28,369
8,20,41,364,8,-43,40,365,-4,28,31,362
-7,-36,21,317,-3,-20,21,377,6,-45,24,301
7,15,33,235,3,12,19,375,-8,-18,31,236
-4,-30,41,177,0,-33,40,369,7,12,32,166
-10,1,16,99,-10,11,17,342,8,-42,22,96
9,30,38,34,9,-24,32,262,-9,17,33,18
-10,-48,30,0,3,-40,28,188,12,-28,24,0
10,31,23,0,-3,21,19,123,-11,-49,20,0
-9,-43,38,0,6,-41,38,41,10,33,38,0
8,22,19,0,-5,16,31,0,-9,-51,20,0
-6,-32,22,0,6,-40,23,0,10,29,30,0
4,11,34,0,11,11,38,0,-8,-46,30,0
0,-20,21,0,-8,-28,23,0,-8,22,27,0
-10,-5,39,0,12,3,35,0,9,-32,33,0
12,23,22,0,-8,-20,43,0,-9,9,22,0
-7,-43,16,0,11,-36,14,0,10,22,40,0
-1,18,44,0,-6,14,33,0,-9,-40,19,0
7,3,12,0,8,-34,28,0,11,23,35,0
-7,-29,45,0,-3,12,15,0,4,-37,27,0
8,8,15,0,5,-36,43,0,-2,17,10,0
9,-29,42,0,12,7,15,0,9,-33,49,0
-5,-34,40,0,-8,-3,43,0,-5,-20,7,0
9,12,14,62,10,-29,16,0,-6,0,49,0
2,-32,46,116,-7,2,39,0,9,-29,11,41
1,-9,10,170,11,-28,22,0,-6,4,43,105
10,-10,49,242,-6,-5,12,0,3,4,46,147
-5,-29,7,316,-5,6,45,51,5,-31,8,212
-1,7,48,351,11,-34,13,112,-6,5,36,290
5,-5,43,370,-6,-13,41,153,9,-17,27,343
-4,0,12,376,6,-6,16,219,8,-9,6,364
5,-18,48,374,2,-22,40,297,-4,8,51,375
0,-6,24,367,-7,5,22,352,7,-29,9,374
-5,-30,33,318,11,-29,32,365,-2,-18,16,367
11,0,49,240,6,-28,27,376,-6,-2,45,343
-7,0,10,172,-3,8,6,370,10,-26,22,272
11,-31,44,98,8,-25,54,367,-7,3,27,200
-4,6,36,40,-5,-3,39,345,1,6,46,128
9,-38,16,0,5,11,14,282,7,-32,8,46
8,10,39,0,10,-39,46,209,-3,6,47,0
-5,-36,23,0,-7,14,12,58,9,-17,43,0
10,-22,27,0,3,-38,38,0,-3,-15,10,0
-8,4,50,0,3,11,50,0,6,-11,41,0
10,-34,6,0,-10,-34,6,0,0,-22,20,0
-9,15,0,0,11,6,46,0,2,-4,31,0
9,-42,40,0,-7,11,34,0,1,-34,57,0
5,23,10,0,8,-35,17,0,-8,4,3,0
-5,-47,40,0,-5,20,45,0,10,-25,52,0
8,-20,17,0,6,-41,14,0,-8,-3,8,0
-7,1,38,0,-2,24,38,0,8,14,42,0
6,-36,23,0,-7,-40,46,0,-5,-42,17,0
11,15,31,0,10,20,10,0,7,22,34,0
-8,-33,29,0,-11,-33,46,0,8,-43,27,0
9,-45,7,0,8,7,12,0,-6,19,25,0
1,21,47,48,-1,29,22,0,5,-42,35,0
-2,-47,11,100,0,-50,38,0,1,-32,11,17
8,-17,40,149,7,-6,19,0,-8,12,43,88
-8,5,18,201,-6,-4,41,0,10,-33,18,129
6,-36,35,276,2,-53,16,24,-8,6,34,187
7,13,24,337,-3,28,40,89,-2,19,24,270
-9,-27,30,362,-11,-41,15,128,5,-47,20,328
3,-41,29,375,11,-38,28,195,-6,22,0,363
2,27,13,375,1,28,31,267,3,-4,26,369
-2,-1,42,367,-3,-46,27,328,7,-24,28,377
-11,23,18,354,11,-2,32,356,-8,18,36,369
10,-9,20,298,-9,-5,26,368,7,-28,21,366
-11,25,38,225,7,-45,35,376,0,-40,36,322
10,-44,19,168,8,27,19,370,-3,27,31,253
-8,21,37,82,-11,-38,39,365,7,-45,24,181
8,-39,40,15,10,-32,41,32,-8,-16,31,112
-6,18,18,0,0,17,16,238,6,9,25,34
-10,-32,38,0,-2,-41,41,172,9,-42,33,0
11,7,28,0,10,21,26,101,-10,18,37,0
-11,27,27,0,-9,-13,29,22,13,-30,19,0
11,-46,39,0,8,-15,41,0,-12,-49,33,0
-11,31,18,0,8,-4,18,0,10,33,28,0
9,-45,0,0,-8,-25,37,0,-9,-52,29,0
-7,25,32,0,11,7,36,0,10,30,40,0
5,-37,24,0,-8,-31,17,0,-9,-48,18,0
-3,16,40,0,2,11,37,0,7,23,40,0
-9,-26,19,0,3,-21,21,0,-5,-33,18,0
12,1,37,0,-1,-5,13,0,-8,10,39,0
-8,22,24,0,8,-13,46,0,10,-21,19,0
0,-42,12,0,-5,-10,12,0,-10,-1,14,0
7,20,46,0,11,150,26,0,11,24,44,0
-6,-2,14,0,-9,-10,34,0,-7,-37,13,0
8,-25,43,57,5,-18,22,0,-3,16,46,0
10,12,16,110,0,7,37,0,8,-33,10,0
-4,-33,37,157,2,-33,18,0,-7,8,18,44
9,-30,25,218,5,-27,40,0,7,2,40,104
1,10,7,291,-3,1,19,0,10,-26,16,149
2,-32,52,343,9,-34,31,48,-6,39,44,216
10,-5,4,364,-5,-4,32,110,11,3,20,292
-6,-13,52,376,10,-20,18,146,4,-25,35,344
9,-31,40,376,12,-35,42,209,-3,-32,51,365
28,8,13,373,-6,11,13,286,10,6,9,375
6,40,48,358,12,-33,43,341,-5,-28,48,374
-5,-17,18,294,2,-23,18,364,7,-9,37,367
7,-8,37,217,1,2,35,377,10,-9,16,349
-2,-31,25,149,12,-31,25,374,-6,-28,39,274
5,1,8,70,-5,7,5,367,3,5,27,204
1,-29,27,8,8,10,54,354,4,-26,11,136
-6,1,35,0,8,-38,4,220,1,-23,45,63
11,5,19,0,-5,13,17,156,11,5,10,0
-7,-38,43,0,6,-19,44,72,-6,-25,17,0
10,11,18,0,-2,-13,10,0,10,-5,45,0
-4,-38,0,0,-8,-8,40,0,-2,-19,13,0
6,14,52,0,11,-22,49,0,6,-35,40,0
-3,-35,28,0,-9,1,6,0,0,8,21,0
-7,5,25,0,0,-36,49,0,-5,-35,3,0
9,15,50,0,5,8,33,0,11,5,56,0
-8,-41,9,0,-4,-23,17,0,-8,-33,4,0
11,24,41,0,8,-2,46,0,9,2,50,0
3,-49,44,0,-6,-10,14,0,-8,7,8,0
-2,-14,12,0,7,-16,13,0,-3,-33,44,0
7,-4,48,0,-3,25,45,0,6,14,17,0
-7,-31,8,0,2,-41,10,0,-7,-40,34,0
8,23,48,85,0,22,28,0,8,19,47,0
-4,-40,8,97,0,-37,33,0,-3,-4,7,0
-8,7,26,109,2,10,23,0,4,-22,47,0
4,22,35,158,1,25,37,0,9,1,11,62
0,-23,16,213,-11,-48,18,0,-7,-32,43,113
-1,-10,41,286,7,32,41,0,9,8,17,161
8,2,16,343,-7,-9,20,61,2,-29,33,240
-9,-41,38,364,5,-21,34,113,-1,-39,40,307
-4,16,23,375,-4,28,25,169,7,18,18,355
5,16,32,375,-9,-43,27,241,-5,-43,0,366
-7,9,29,368,10,-34,295,312,-8,-13,26,377
4,-40,13,349,-9,24,15,356,8,-1,15,368
8,8,44,290,0,-43,42,366,-9,-37,39,367
-11,-16,17,214,3,2,16,377,-2,14,20,337
10,-43,19,151,-10,-8,40,373,2,16,26,267
0,26,36,67,6,-44,19,367,-9,-40,32,199
-1,-43,19,0,8,28,21,3,7,25,23,127
5,-21,36,0,-8,6,39,244,-8,-5,33,51
-7,6,23,0,10,-30,16,172,-8,-17,34,0
7,-29,18,0,-3,15,34,104,10,28,20,0
-8,13,37,0,0,-29,26,25,-10,-41,35,0
5,-39,26,0,11,2,17,0,12,18,23,0
-2,22,0,0,-9,-16,40,0,-12,24,19,0
0,-23,39,0,-3,-12,30,0,11,-49,40,0
2,0,18,0,6,-6,24,0,-9,34,17,0
-10,-8,27,0,-8,-42,39,0,8,-53,29,0
10,-18,29,0,8,16,20,0,7,31,31,0
-8,25,17,0,-2,-32,17,0,-8,-48,25,0
6,-38,17,0,4,6,44,0,10,26,35,0
-4,19,20,0,0,-23,13,0,-9,-34,21,0
-9,-31,40,0,1,-2,34,0,9,-39,40,0
12,5,20,0,11,31,27,0,-9,24,14,0
-9,20,15,0,-7,13,13,0,12,-42,33,0
0,-42,44,2,9,-34,46,0,6,25,29,0
5,21,11,74,-5,11,13,0,-4,-38,24,13
-6,-8,45,121,7,-36,46,0,9,17,37,87
9,-22,15,177,-1,8,14,0,-4,-34,17,130
-4,13,18,247,-8,-7,41,0,-5,-24,41,174
-5,-34,45,309,12,-24,20,60,11,4,16,248
11,7,7,352,-8,-1,13,116,-7,-27,38,315
0,8,54,369,12,-32,46,152,2,31,21,357
3,-30,4,377,-6,0,10,219,5,2,10,368
5,-2,53,374,-5,6,47,294,-6,5,0,375
10,-1,6,368,12,-35,12,345,10,-32,28,368
-7,29,15,338,-7,-9,44,365,8,8,24,364
0,-30,48,272,7,-10,16,377,-6,-15,46,319
6,7,9,204,2,-35,36,369,6,-11,14,248
-3,-11,41,133,-8,9,24,366,-2,8,38,182
-3,-13,50,56,12,-1,7,346,-6,-29,44,108
-5,2,8,0,6,-25,52,284,12,-19,10,31
7,2,31,0,-4,9,32,211,-8,0,24,0
1,-6,30,0,9,-30,22,68,1,-27,36,0
-5,-31,21,0,-6,1,51,0,7,4,16,0
11,3,46,0,-5,12,8,0,-2,5,47,0
-7,1,15,0,10,-44,43,0,9,-34,13,0
11,-35,9,0,-8,20,48,0,-4,7,8,0
-4,9,51,0,3,-46,8,0,10,-19,49,0
-5,-38,22,0,0,17,31,0,-5,-14,23,0
8,16,31,0,-10,-40,29,0,2,-11,31,0
-7,-3,52,0,12,10,20,0,2,-23,33,0
10,-30,5,0,-9,16,48,0,0,-2,17,0
-8,11,47,0,9,-39,11,0,4,-31,43,0
12,-39,13,0,-7,23,16,0,-3,9,8,0
-12,23,44,0,6,-45,44,0,6,-24,44,0
-1,-51,46,0,-3,28,17,0,-5,-4,17,0
5,27,8,30,-8,-43,32,0,6,-16,32,0
-4,-12,47,94,9,23,31,0,-2,-14,28,0
9,-24,10,133,-10,-37,24,0,-5,-2,24,6
8,8,46,198,10,10,34,0,9,-24,35,69
-8,-49,31,270,25,24,20,7,38,16,19,117
6,-40,20,336,-11,-48,43,79,0,-38,42,168
-1,22,39,360,7,1,18,124,0,6,19,248
0,-32,15,374,-7,-13,35,187,8,12,33,313
7,-1,43,376,5,-52,23,268,-5,50,26,356
-9,-5,17,369,-5,29,30,330,6,0,16,367
-2,-46,37,362,-10,-44,29,357,5,-18,38,376
3,23,24,312,10,-30,15,370,-9,-41,31,367
-8,11,28,234,0,21,148,376,3,16,31,366
5,-36,44,174,-1,-30,17,369,-1,-33,19,326
6,16,15,91,11,6,40,363,0,-26,19,256
-10,-24,40,33,-10,-13,18,228,7,15,25,186
11,-43,34,0,8,-45,21,161,-9,-22,26,115
-10,26,22,0,7,30,38,82,-6,-5,25,43
9,-45,38,0,-8,2,19,9,7,-3,24,0
1,25,21,0,5,-26,37,0,-7,-42,38,0
-4,-42,33,0,-4,19,42,0,7,26,22,0
7,-23,37,0,0,-34,16,0,-5,11,45,0
-7,7,20,0,10,7,40,0,3,-37,25,0
9,-34,29,0,-8,-20,31,0,0,16,16,0
-4,18,43,0,-2,-10,23,0,-11,-29,40,0
2,-38,27,0,4,-9,38,0,9,3,16,0
0,5,27,0,-8,-44,19,0,-10,-14,29,0
-2,-14,20,0,9,17,39,0,9,-16,32,0
3,-10,33,0,-3,-34,43,0,-7,32,23,0
-9,1,26,0,5,7,12,0,5,-49,35,0
8,-22,20,0,0,-24,36,0,-4,26,20,0
-6,23,45,0,2,-1,28,0,3,-35,41,0
7,-36,20,0,12,13,11,0,10,10,14,0
10,10,24,55,-7,-33,48,0,-9,-20,44,0
-7,-26,26,111,9,41,13,0,11,-4,30,31
12,-40,27,157,-6,8,45,19,-8,-6,24,96
3,19,33,220,8,-33,14,90,-4,-39,37,136
0,-40,14,296,-3,5,40,133,9,17,18,185
10,-16,41,348,-8,-9,19,182,2,-34,42,264
-4,-6,18,365,11,-22,33,259,2,7,15,325
7,-36,37,376,-7,5,31,321,-6,6,36,362
9,8,21,373,13,-32,9,363,-6,-33,22,370
-6,-25,32,368,-7,-30,10,372,1,-7,11,375
0,-27,32,340,-2,4,45,377,0,-7,49,368
1,6,5,266,10,-33,16,368,-4,7,28,357
14,-10,50,193,-4,-8,34,366,0,7,25,301
2,-22,43,122,9,-11,46,322,10,-14,47,232
2,-14,13,46,12,-19,10,254,-6,-16,14,168
-4,-14,43,0,-8,9,51,185,7,8,40,91
-1,1,19,0,12,-34,6,125,0,-32,44,19
0,-8,33,0,4,-24,22,48,-8,-19,11,0
-5,-22,47,0,-1,8,38,0,12,2,25,0
15,-9,11,0,6,-33,16,0,-8,-25,38,0
-1,-20,44,0,-7,4,44,0,0,5,17,0
6,2,38,0,8,12,17,0,8,5,48,0
2,-38,11,0,10,-43,10,0,-2,-34,12,0
2,-3,40,0,-7,21,46,0,9,7,11,0
5,-20,19,0,6,-46,8,0,-5,-20,48,0
-6,-11,6,0,-1,18,25,0,11,-13,5,0
9,14,54,0,-12,-42,36,0,-6,-12,31,0
-5,-39,28,0,14,12,10,0,9,-24,31,0
6,13,22,0,-9,-26,44,0,2,-1,20,0
-5,-36,40,0,12,1,41,0,0,-32,40,0
3,12,16,0,-9,23,12,0,6,10,6,0
-2,-32,45,41,7,-45,48,0,-3,-37,46,0
-11,1,15,97,-4,307,9,0,6,-5,15,0
13,24,39,142,3,29,27,0,-8,-15,35,37
3,-53,20,205,-2,-43,29,0,5,-15,26,98
-3,-15,32,276,-12,23,24,29,-1,-1,25,138
11,0,28,338,10,-39,37,96,-8,-26,36,204
-7,-52,23,357,46,-36,17,136,8,6,19,288
6,20,45,373,-11,22,39,209,0,-36,45,341
8,-38,10,375,8,-45,22,286,0,5,17,366
-8,-45,44,369,-10,28,33,345,0,15,34,376
8,28,16,362,7,-17,26,361,9,-40,25,372
0,-46,38,313,10,-12,31,375,-5,-3,16,367
-2,-16,21,236,-10,0,26,374,6,-17,43,346
8,7,32,175,10,-45,16,367,5,-42,28,268
-8,-41,44,98,-10,24,42,354,-8,16,0,205
-5,20,15,28,-2,16,17,285,3,-32,32,129
6,23,25,0,3,-39,24,213,-1,-27,19,60
-7,-42,31,0,-4,27,38,73,-2,16,25,0
4,5,25,0,8,-18,19,0,7,-22,34,0
-2,-16,40,0,-7,-4,40,0,-9,-3,20,0
0,-11,18,0,-9,30,23,0,-5,-3,32,0
9,-2,36,0,10,-45,15,0,6,-44,25,0
-9,-44,34,0,-11,-21,42,0,-8,27,19,0
11,22,0,0,0,8,29,0,6,9,40,0
-8,-40,32,0,1,-36,24,0,-5,-34,16,0
7,16,27,0,-9,20,41,0,3,22,33,0
-5,-29,19,0,9,-27,17,0,0,-32,28,0
4,8,38,0,6,-3,42,0,-11,7,16,0
11,-19,25,0,-7,-15,44,0,10,-17,43,0
-13,-42,30,0,10,-15,13,0,-8,-13,16,0
12,28,32,0,-9,1,47,0,10,33,41,0
-9,-43,25,0,5,-37,25,0,-8,-49,18,0
8,25,41,46,0,11,29,0,5,27,39,0
-8,-40,16,103,1,-28,49,0,-5,-36,42,0
8,15,40,142,5,2,11,0,4,11,14,19
10,-32,22,211,-3,-20,47,24,10,-21,44,90
-7,-37,13,292,10,-5,13,94,-9,-3,13,134
4,17,46,349,-6,8,41,134,11,-6,47,177
2,-20,12,366,8,-34,19,192,-6,-41,10,255
1,-10,46,376,-3,6,34,269,-3,18,44,322
10,-11,14,374,6,-10,29,329,10,-35,19,358
-4,-37,42,369,1,-19,23,364,-4,9,35,369
8,12,15,337,-7,-6,50,374,6,8,46,375
7,-29,6,260,12,-33,9,376,21,-32,12,367
-5,-24,54,188,-7,2,148,367,1,0,30,360
6,4,2,112,-1,3,16,362,-6,26,31,308
1,21,25,36,8,-32,37,244,3,-8,12,234
-5,-21,38,0,-4,-6,47,174,4,8,44,170
8,-4,5,0,9,-14,8,115,-3,-10,15,97
3,6,47,0,-2,-35,49,32,10,-14,15,29
-1,-27,15,0,-7,11,29,0,-4,-5,44,0
7,-11,9,0,11,-35,25,0,-5,-28,28,0
-2,-14,46,0,4,-21,49,0,10,5,23,0
8,-16,26,0,0,5,9,0,-6,0,45,0
-2,-9,27,0,12,-34,44,0,2,-24,10,0
7,-30,46,0,-7,7,44,0,3,4,47,0
0,1,0,0,8,-30,11,0,-8,-27,46,0
-5,-30,43,0,8,-44,32,0,12,-3,11,0
8,0,46,0,-6,22,26,0,-7,6,38,0
-6,4,8,0,11,-48,25,0,12,-37,22,0
10,-34,37,0,-4,21,49,0,-3,11,32,0
-6,13,27,0,4,-45,9,0,7,-40,32,0
7,-39,5,0,14,16,44,0,11,10,3,0
-6,16,51,43,-9,-30,40,0,-6,-36,51,0
-6,-39,9,100,13,5,12,0,10,-31,7,0
10,17,46,148,-10,-17,47,0,-8,12,46,0
-9,13,13,209,9,-46,25,0,10,-38,15,41
5,-42,40,280,-5,30,28,52,-8,16,35,100
0,21,21,341,4,-45,29,109,8,-43,24,146
-10,-29,10,358,-4,47,26,149,-5,20,26,212
12,-4,46,374,1,24,35,223,6,-41,49,296
-9,32,11,374,9,-39,19,298,9,15,9,341
-5,-56,43,368,-11,-34,38,349,-9,-35,46,367
7,27,12,357,8,19,21,362,3,-38,16,376
-4,9,43,309,-9,-42,310,376,2,17,37,372
4,-40,16,235,8,6,24,372,-8,-22,43,368
8,12,37,173,8,-19,32,366,8,-6,16,345
-8,-21,21,97,-10,-47,25,346,-6,17,33,267
7,-46,18,31,11,26,31,273,-4,-41,24,204
8,2,42,0,-2,-42,40,202,6,14,0,127
0,11,16,0,0,-21,16,136,-6,4,41,58
